,매장 이름,매장 주소,지역구,위도,경도
0,GS25CBS점,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)",양천구,37.527871,126.874094
1,GS25DDMC점,"서울 마포구 매봉산로75, 1층 107호 (상암동 1610)",마포구,37.57500290000001,126.8907786
2,GS25DMC가재울점,"서울 서대문구 가재울미래로2, 203동 101호 (남가좌동 385, 2단지)",서대문구,37.5710357,126.9109522
3,GS25DXLAB점,"서울 강남구 테헤란로223, 1층 101호 (역삼동 677-25, 큰길타워빌딩)",강남구,37.5023634,127.0406629
4,GS25G고덕점,서울 강동구 고덕로39 (암사3동 441-14),강동구,37.5551013,127.1295717
5,GS25G서초연일점,"서울 서초구 남부순환로2451 (서초1동 1426-13, 연일주유소)",서초구,37.4825475,127.0185027
6,GS25G신사남서울점,"서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)",서초구,37.516125,127.0189392
7,GS25G여의도점,"서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)",영등포구,37.5303375,126.9255792
8,GS25KD사옥점,서울 성동구 왕십리로125 (성수동1가 656-292),성동구,37.5489087,127.0439869
9,GS25LG광화문점,"서울 종로구 새문안로58, 지하2층 (신문로2가 92, LG광화문빌딩)",종로구,37.5693066,126.9715349
10,GS25LG사이언스파크점,"서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)",강서구,37.5724803,126.837837
11,GS25LG유플러스용산점,"서울 용산구 한강대로32, 지하1층 (한강로3가 65-228, 엘지유플러스)",용산구,37.5238025,126.9636168
12,GS25R강동4점,"서울 강동구 구천면로200, 강동지사 4층 (천호동 419-3, 한국마사회)",강동구,37.540006,127.1266501
13,GS25R강동5점,"서울 강동구 구천면로200, 마사회 강동지사 5층 (천호동 419-3)",강동구,37.540006,127.1266501
14,GS25R도봉4점,"서울 도봉구 노해로67길14, 4층 (창동 8, 한국마사회)",도봉구,37.6522542,127.0493815
15,GS25R도봉8점,"서울 도봉구 노해로67길14, 8층 (창동 8, 한국마사회창동지점)",도봉구,37.652258,127.04939
16,GS25R서울강남4점,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",강남구,37.52505130000001,127.0513034
17,GS25R선릉7점,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",강남구,37.5049603,127.0519363
18,GS25R영등포4점,"서울 영등포구 영중로8길14, 4층 (영등포동3가 18, 영등포케이빌딩)",영등포구,37.51812839999999,126.9070089
19,GS25R영등포6점,"서울 영등포구 영중로8길14, 6층 (영등포동3가 18, 영등포케이빌딩)",영등포구,37.51812839999999,126.9070089
20,GS25R영등포8점,"서울 영등포구 영중로8길14, 8층 (영등포동3가 18, 마사회)",영등포구,37.51842310000001,126.9087671
21,GS25S6고려대역점,"서울 성북구 종암로지하 1, 6호선 고려대역 지하철역사 (종암동 29-18)",성북구,37.5903824,127.036203
22,GS25S6공덕역점,"서울 마포구 백범로지하 200, 지하1층 (공덕동 439, 공덕역)",마포구,37.5436847,126.9514541
23,GS25S6광흥창역점,"서울 마포구 독막로지하 165, 6호 호선 광흥창역 (창전동 145-17)",마포구,37.547478,126.931855
24,GS25S6구산역점,"서울 은평구 연서로지하 137-1, 6호선 구산역 지하1층 1001호 (구산동)",은평구,35.2413715,128.8725122
25,GS25S6녹사평역점,"서울 용산구 녹사평대로지하 195, 지하 (용산동4가 4)",용산구,37.53479189999999,126.9870163
26,GS25S6대흥역점,"서울 마포구 대흥로지하 85, 6호 호선 대흥역 (대흥동 128-1)",마포구,37.547674,126.942332
27,GS25S6돌곶이역점,"서울 성북구 화랑로지하 243, 지하철 역사 (석관동 349-8, 6호선)",성북구,37.6105223,127.0572772
28,GS25S6동묘앞역점,서울 종로구 지봉로지하 24 (숭인동 316-3),종로구,37.5716765,127.0158422
29,GS25S6마포구청역점,"서울 마포구 월드컵로지하 190 (성산동 592, 마포구청역)",마포구,37.5649979,126.9015161
30,GS25S6망원역점,"서울 마포구 월드컵로지하 77 (망원동 378, 6호선망원역)",마포구,37.5557572,126.909907
