,매장 이름,매장 주소,지역 시/군/구,위도,경도
0,GS252테크노파크점,"경기 부천시 오정구 석천로345, 300동 114호(삼정동 365)",부천시,37.5187422,126.7641038
1,GS25CJ덕양SUB점,"경기 고양시 일산동구 성현로615 (사리현동 151-1, CJ대한통운)",고양시일산동구,37.6950351,126.8496569
2,GS25GIDC광명역점,"경기 광명시 일직로43, GIDC광명역 G244호 (일직동 514)",광명시,37.4229034,126.8870783
3,GS25G광주거북이점,경기 광주시 경충대로2108 (중대동 290-3),광주시,37.4076279,127.2089896
4,GS25G내촌부자점,경기 포천시 내촌면 금강로3185 (신팔리 135-6),포천시,37.8444618,127.2766528
5,GS25G동탄샤인점,"경기 화성시 경기동로527, 1층 (장지동 861-6)",화성시,37.1497699,127.127576
6,GS25G스마트MTV점,경기 안산시 단원구 시화호수로841번길4 (성곡동 851-7),안산시단원구,37.2933333,126.5925
7,GS25G시화공단점,"경기 시흥시 공단1대로256, 102호(정왕1동 1367-2, 시화공단3다)",시흥시,37.3348906,126.7289823
8,GS25G시흥정다운점,"경기 시흥시 역전로318, 101호 (정왕동 876-420, SK정왕주유소)",시흥시,37.3535613,126.7377425
9,GS25G시흥하우로점,"경기 시흥시 하우로26-1, 1층 (대야동 57-5, S-OIL하우고개주유소)",시흥시,37.4583199,126.786084
10,GS25G옥길로점,경기 부천시 옥길로6 (옥길동 767-2),부천시,37.4689911,126.822613
11,GS25G은현IC점,경기 양주시 은현면하패리 250번지,양주시,37.8814019,127.0365107
12,GS25G정왕IC점,경기 시흥시 서해안로590(정왕동 1112-2),시흥시,37.3712312,126.738458
13,GS25G파주조인점,경기 파주시 창곡동길27 (야동동 151-12),파주시,37.7730451,126.7646942
14,GS25LGD파주A1동점,"경기 파주시 월롱면 엘지로245, A1동 2층 (덕은리 1239)",파주시,37.8133325,126.7612555
15,GS25LGD파주A2동점,"경기 파주시 월롱면 엘지로245, A2동 2층 (덕은리 1239)",파주시,37.8133325,126.7612555
16,GS25LGD파주A3동점,"경기 파주시 월롱면 엘지로245, A3동 (덕은리 1239)",파주시,37.8133325,126.7612555
17,GS25LGD파주R&D점,"경기 파주시 월롱면 엘지로245, RD동 15층 (덕은리 1239)",파주시,37.8133325,126.7612555
18,GS25LGD파주복지동A점,"경기 파주시 월롱면 엘씨디로201, 1층 매점 (덕은리 1253)",파주시,37.8090698,126.7607203
19,GS25LGD파주복지동B점,"경기 파주시 월롱면 엘씨디로231, G/H동 3층 (덕은리 1251)",파주시,37.81072959999999,126.7584269
