store,address,phone,address2,지역구
신강남신사점,서울 강남구 도산대로1길 28,1577-9621,서울특별시 강남구 도산대로1길 28,강남구
강동타운점,서울 강동구 구천면로57길 35,1577-9621,서울특별시 강동구 구천면로57길 35,강동구
왕십리센트럴점,서울 성동구 마장로 200,1577-9621,서울특별시 성동구 마장로 200,성동구
동작대교2점,서울 동작구 동작대로 335 노을카페,1577-9621,서울특별시 동작구 동작대로 335 노을카페,동작구
래미안목동점,서울 양천구 중앙로43길 14 상가 119동,1577-9621,서울특별시 양천구 중앙로43길 14 상가 119동,양천구
한강광나루2점,서울 강동구 선사로 83-19,1577-9621,서울특별시 강동구 선사로 83-19,강동구
한강잠원2호점,서울 강남구 압구정로11길 37-30,1577-9621,서울특별시 강남구 압구정로11길 37-30,강남구
고척헤리움점,서울 구로구 중앙로 18,1577-9621,서울특별시 구로구 중앙로 18,구로구
가산디퍼스타점,서울 금천구 가산디지털2로 169-16,1577-9621,서울특별시 금천구 가산디지털2로 169-16,금천구
도봉본점,"서울 도봉구 해등로 295, 1층",1577-9621,"서울특별시 도봉구 해등로 295, 1층",도봉구
수유어반빌리움점,"서울 강북구 도봉로 277, 1층",1577-9621,"서울특별시 강북구 도봉로 277, 1층",강북구
서초메이플점,"서울 서초구 서초대로 355, 1층 101호",1577-9621,"서울특별시 서초구 서초대로 355, 1층 101호",서초구
동작대교점,"서울 서초구 동작대로 350(반포동, 한강반포지구내유선장)",1577-9621,"서울특별시 서초구 동작대로 350(반포동, 한강반포지구내유선장)",서초구
중랑건영점,서울 중랑구 신내로7가길 83,1577-9621,서울특별시 중랑구 신내로7가길 83,중랑구
신림사랑점,서울 관악구 신사로10길 13(신림동) 1층,1577-9621,서울특별시 관악구 신사로10길 13(신림동) 1층,관악구
수락로또점,"서울 노원구 동일로242길 22, 1층",1577-9621,"서울특별시 노원구 동일로242길 22, 1층",노원구
무악재청구점,서울 서대문구 통일로 348,1577-9621 소프트크림 판매점,서울특별시 서대문구 통일로 348,서대문구
대공원구의문점,서울 광진구 능동로 216(서울어린이대공원 내 구의문 복합식당),1577-9621,서울특별시 광진구 능동로 216(서울어린이대공원 내 구의문 복합식당),광진구
신월나은점,서울시 양천구 신월로 128-1,1577-9621,서울특별시 양천구 신월로 128-1,양천구
가산노블루체점,"서울 금천구 가산로9길 17, 104동 105호",1577-9621,"서울특별시 금천구 가산로9길 17, 104동 105호",금천구
상계중앙점,서울 노원구 노원로 434 아파트상가 지하,1577-9621 소프트크림 판매점,서울특별시 노원구 노원로 434 아파트상가 지하,노원구
번동리치점,서울 강북구 오현로25라길 34,1577-9621,서울특별시 강북구 오현로25라길 34,강북구
어린이대공원점,서울 광진구 능동로 216 (식물원 복합식당 내부),1577-9621,서울특별시 광진구 능동로 216 (식물원 복합식당 내부),광진구
중화하나점,"서울 중랑구 동일로130길 53, 1층",1577-9621,"서울특별시 중랑구 동일로130길 53, 1층",중랑구
한강강서1점,서울 강서구 양천로27길 280-11,1577-9621,서울특별시 강서구 양천로27길 280-11,강서구
관악미래점,서울 관악구 법원단지5가길 54,1577-9621,서울특별시 관악구 법원단지5가길 54,관악구
신월선율점,서울 양천구 월정로36길 5,1577-9621,서울특별시 양천구 월정로36길 5,양천구
덕의초교점,서울 구로구 고척로51길 12,1577-9621,서울특별시 구로구 고척로51길 12,구로구
서울오현초교점,"서울 강북구 월계로 225, 1층",1577-9621,"서울특별시 강북구 월계로 225, 1층",강북구
덕성동아점,서울 도봉구 우이천로 465,02-990-3422 소프트크림 판매점,서울특별시 도봉구 우이천로 465,도봉구
장안센트럴점,서울 동대문구 한천로 146,1577-9621 소프트크림 판매점,서울특별시 동대문구 한천로 146,동대문구
화곡우정점,서울 강서구 월정로 88,1577-9621,서울특별시 강서구 월정로 88,강서구
장안금빛점,서울 동대문구 한천로26길 58,1577-9621 소프트크림 판매점,서울특별시 동대문구 한천로26길 58,동대문구
금천느티나무점,서울 금천구 독산로28길 11,1577-9621,서울특별시 금천구 독산로28길 11,금천구
개봉이레점,서울 구로구 개봉로16길 39,1577-9621,서울특별시 구로구 개봉로16길 39,구로구
종암베로니스점,서울 성북구 화랑로1길 7,1577-9621 소프트크림 판매점,서울특별시 성북구 화랑로1길 7,성북구
중계에이스점,서울 노원구 중계로19길 48,1577-9621 소프트크림 판매점,서울특별시 노원구 중계로19길 48,노원구
도봉센트럴점,서울 도봉구 도봉로137길 16,1577-9621 소프트크림 판매점,서울특별시 도봉구 도봉로137길 16,도봉구
금천보길점,서울 금천구 독산로73길 13,1577-9621 소프트크림 판매점,서울특별시 금천구 독산로73길 13,금천구
중곡빌리지점,"서울 광진구 용마산로3길 32, 1층",1577-9621,"서울특별시 광진구 용마산로3길 32, 1층",광진구
용산보광점,서울 용산구 우사단로2가길 6,1577-9621,서울특별시 용산구 우사단로2가길 6,용산구
남구로두꺼비점,"서울 구로구 도림로 18, 101호",1577-9621,"서울특별시 구로구 도림로 18, 101호",구로구
상계푸르지오점,"서울 노원구 수락산로 12, 101호, 102호",1577-9621,"서울특별시 노원구 수락산로 12, 101호, 102호",노원구
한강아라호점,서울 영등포구 여의동로 290,1577-9621,서울특별시 영등포구 여의동로 290,영등포구
동대문패션타운점,서울 중구 장충단로13길 13,1577-9621,서울특별시 중구 장충단로13길 13,중구
장안장평점,서울 동대문구 장한로18길 40,1577-9621 소프트크림 판매점,서울특별시 동대문구 장한로18길 40,동대문구
한강양화2점,서울 영등포구 노들로 147,1577-9621,서울특별시 영등포구 노들로 147,영등포구
등촌우리점,서울 강서구 등촌로39마길 24,1577-9621,서울특별시 강서구 등촌로39마길 24,강서구
한강양화1점,서울 영등포구 노들로 235,1577-9621,서울특별시 영등포구 노들로 235,영등포구
수유드림점,"서울 강북구 노해로 101,1층",1577-9621,"서울특별시 강북구 노해로 101,1층",강북구
구로한일점,"서울 구로구 구로동로35길 30, 108호",1577-9621,"서울특별시 구로구 구로동로35길 30, 108호",구로구
은평구산점,서울 은평구 갈현로 172,1577-9621,서울특별시 은평구 갈현로 172,은평구
여의도공원점,"서울 영등포구 여의공원로 68, 3호 편의점",1577-9621 소프트크림 판매점,"서울특별시 영등포구 여의공원로 68, 3호 편의점",영등포구
당산디벨리움점,"서울 영등포구 양산로 141,1층",1577-9621,"서울특별시 영등포구 양산로 141,1층",영등포구
수유사일구탑점,"서울 강북구 4.19로13길 3, 1층",02-995-8885 소프트크림 판매점,"서울특별시 강북구 4.19로13길 3, 1층",강북구
서울과기대점,서울 노원구 공릉로51길 14-2,1577-9621 소프트크림 판매점,서울특별시 노원구 공릉로51길 14-2,노원구
서울대정문점,서울 관악구 신림로 1,1577-9621,서울특별시 관악구 신림로 1,관악구
신길경천점,"서울 영등포구 영등포로80길 22, 1층",1577-9621 소프트크림 판매점,"서울특별시 영등포구 영등포로80길 22, 1층",영등포구
양천러블리점,"서울 양천구 은행정로 35, 1층",1577-9621,"서울특별시 양천구 은행정로 35, 1층",양천구
송파대성점,서울 송파구 백제고분로14길 5,1577-9621 소프트크림 판매점,서울특별시 송파구 백제고분로14길 5,송파구
서울구로구청점,"서울 구로구 가마산로22길 10, 1층",1577-9621 소프트크림 판매점,"서울특별시 구로구 가마산로22길 10, 1층",구로구
성동금호점,서울 성동구 금호로 15 상가동 109호,1577-9621,서울특별시 성동구 금호로 15 상가동 109호,성동구
마포한신점,"서울 마포구 마포대로 12, 101-1호, 101-2호",1577-9621 소프트크림 판매점,"서울특별시 마포구 마포대로 12, 101-1호, 101-2호",마포구
서울S타워점,서울 종로구 새문안로 82 S타워 지하1층,1577-9621,서울특별시 종로구 새문안로 82 S타워 지하1층,종로구
성수경수점,"서울 성동구 성수이로16길 21, 1층",1577-9621 소프트크림 판매점,"서울특별시 성동구 성수이로16길 21, 1층",성동구
금천은행나무점,서울 금천구 시흥대로50길 26 1층,1577-9621 소프트크림 판매점,서울특별시 금천구 시흥대로50길 26 1층,금천구
서울신주점,"서울 강서구 곰달래로31가길 80, 1층",1577-9621,"서울특별시 강서구 곰달래로31가길 80, 1층",강서구
중구매크로점,"서울 중구 을지로12길 28,105호, 106호",1577-9621 소프트크림 판매점,"서울특별시 중구 을지로12길 28,105호, 106호",중구
대림선전점,"서울 영등포구 디지털로48길 21-14, 1층",1577-9621,"서울특별시 영등포구 디지털로48길 21-14, 1층",영등포구
올림픽파크점,서울 송파구 올림픽로 424 평화의광장 C-1동,1577-9621 소프트크림 판매점,서울특별시 송파구 올림픽로 424 평화의광장 C-1동,송파구
강동영광점,서울 강동구 상암로21길 12,1577-9621,서울특별시 강동구 상암로21길 12,강동구
정릉타운점,"서울 성북구 서경로18길 6,B1",1577-9621,"서울특별시 성북구 서경로18길 6,B1",성북구
용산후암점,"서울 용산구 두텁바위로37길 7-3, 1층",1577-9621,"서울특별시 용산구 두텁바위로37길 7-3, 1층",용산구
화곡재성점,"서울 강서구 월정로20길 25,  1층",1577-9621,"서울특별시 강서구 월정로20길 25, 1층",강서구
개화산역점,"서울 강서구 양천로 50, 1층",1577-9621,"서울특별시 강서구 양천로 50, 1층",강서구
성북보문점,서울 성북구 낙산길 255,1577-9621,서울특별시 성북구 낙산길 255,성북구
구로개봉점,서울 구로구 개봉로11길 35,1577-9621 소프트크림 판매점,서울특별시 구로구 개봉로11길 35,구로구
갈현타운점,서울 은평구 갈현로23길 9,1577-9621 소프트크림 판매점,서울특별시 은평구 갈현로23길 9,은평구
용산해방촌점,서울 용산구 신흥로16길 3,1577-9621,서울특별시 용산구 신흥로16길 3,용산구
금천스카이점,서울 금천구 시흥대로47길 35,1577-9621 소프트크림 판매점,서울특별시 금천구 시흥대로47길 35,금천구
사당고운점,서울 관악구 과천대로 951,1577-9621,서울특별시 관악구 과천대로 951,관악구
화곡명월점,서울 강서구 곰달래로 104,1577-9621 소프트크림 판매점,서울특별시 강서구 곰달래로 104,강서구
교대학사점,서울 서초구 서초대로52길 38 크란츠빌딩 1층,1577-9621 소프트크림 판매점,서울특별시 서초구 서초대로52길 38 크란츠빌딩 1층,서초구
독산로하스점,서울 금천구 남부순환로124길 17,1577-9621 소프트크림 판매점,서울특별시 금천구 남부순환로124길 17,금천구
송파신승점,서울 송파구 마천로25길 6-14,1577-9621,서울특별시 송파구 마천로25길 6-14,송파구
우리동네점,서울 강서구 강서로7길 89,1577-9621 소프트크림 판매점,서울특별시 강서구 강서로7길 89,강서구
불광역점,서울 은평구 통일로65길 5,1577-9621 소프트크림 판매점,서울특별시 은평구 통일로65길 5,은평구
마천공원점,서울 송파구 성내천로23길 2,1577-9621 소프트크림 판매점,서울특별시 송파구 성내천로23길 2,송파구
구로중앙점,서울 구로구 신도림로11라길 31,1577-9621,서울특별시 구로구 신도림로11라길 31,구로구
암사보은점,서울 강동구 고덕로28길 10-7,1577-9621 소프트크림 판매점,서울특별시 강동구 고덕로28길 10-7,강동구
성수성덕점,서울 성동구 성덕정길 84,1577-9621 소프트크림 판매점,서울특별시 성동구 성덕정길 84,성동구
상암미르웰점,"서울 마포구 모래내로3길 11, 101호",1577-9621,"서울특별시 마포구 모래내로3길 11, 101호",마포구
상암월드시티점,"서울 마포구 월드컵로34길 13, 101,102호",1577-9621 소프트크림 판매점,"서울특별시 마포구 월드컵로34길 13, 101,102호",마포구
중앙대후문점,서울 동작구 흑석로 13,1577-9621 소프트크림 판매점,서울특별시 동작구 흑석로 13,동작구
역촌행운점,서울 은평구 역말로 20,1577-9621 소프트크림 판매점,서울특별시 은평구 역말로 20,은평구
구로대림점,"서울 구로구 도림로 107 상가 102호, 103호",1577-9621,"서울특별시 구로구 도림로 107 상가 102호, 103호",구로구
북아현푸르지오점,"서울 서대문구 북아현로1길 50, 제상가2동 208,209,210호",1577-9621,"서울특별시 서대문구 북아현로1길 50, 제상가2동 208,209,210호",서대문구
방배센터점,서울 서초구 방배로4길 10-3,1577-9621,서울특별시 서초구 방배로4길 10-3,서초구
성신여대입구역점,서울 성북구 동소문로23길 7,1577-9621 소프트크림 판매점,서울특별시 성북구 동소문로23길 7,성북구
성북종암점,서울 성북구 종암로10길 11,1577-9621,서울특별시 성북구 종암로10길 11,성북구
건대현대점,서울 광진구 아차산로21길 47,1577-9621,서울특별시 광진구 아차산로21길 47,광진구
신당현대점,서울 중구 다산로36길 97,1577-9621 소프트크림 판매점,서울특별시 중구 다산로36길 97,중구
서울희망점,서울 강서구 방화대로6길 33,1577-9621 소프트크림 판매점,서울특별시 강서구 방화대로6길 33,강서구
대림중앙점,서울 영등포구 대림로44길 5,1577-9621,서울특별시 영등포구 대림로44길 5,영등포구
사당오거리점,서울 동작구 사당로20길 42,1577-9621 소프트크림 판매점,서울특별시 동작구 사당로20길 42,동작구
한양대학사점,서울 성동구 마조로11길 19,1577-9621,서울특별시 성동구 마조로11길 19,성동구
광운스퀘어점,서울 노원구 광운로 20 광운대학교 80주년 기념관 지하1층,1577-9621 소프트크림 판매점,서울특별시 노원구 광운로 20 광운대학교 80주년 기념관 지하1층,노원구
서초평화점,서울 서초구 반포대로10길 21,1577-9621 소프트크림 판매점,서울특별시 서초구 반포대로10길 21,서초구
인왕산파크점,서울 종로구 통일로16길 8-3,1577-9621,서울특별시 종로구 통일로16길 8-3,종로구
양재그린점,서울 서초구 강남대로18길 11,1577-9621,서울특별시 서초구 강남대로18길 11,서초구
가산캐슬점,서울 금천구 가산디지털2로 98  IT캐슬 2동 113호,1577-9621,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 113호,금천구
국도호텔점,"서울 중구 을지로 164, 베스트웨스턴호텔국도 1층",02-646-6112,"서울특별시 중구 을지로 164, 베스트웨스턴호텔국도 1층",중구
은평우물골점,"서울 은평구 진관2로 57-7, 은평뉴타운 우물골마을 253동 상가 B109호",1577-9621,"서울특별시 은평구 진관2로 57-7, 은평뉴타운 우물골마을 253동 상가 B109호",은평구
보문파크점,서울 성북구 보문로13길 24,1577-9621,서울특별시 성북구 보문로13길 24,성북구
은평신성점,서울 은평구 증산로15길 69,1577-9621 소프트크림 판매점,서울특별시 은평구 증산로15길 69,은평구
홍대잔다리점,"서울 마포구 잔다리로6길 23, 1층",1577-9621,"서울특별시 마포구 잔다리로6길 23, 1층",마포구
서래나루점,서울 서초구 신반포로11길 40 반포한강도선장 내,1577-9621,서울특별시 서초구 신반포로11길 40 반포한강도선장 내,서초구
명지대점,서울 서대문구 거북골로 9,1577-9621 소프트크림 판매점,서울특별시 서대문구 거북골로 9,서대문구
아차산르블랑점,서울 광진구 천호대로127길 13,1577-9621,서울특별시 광진구 천호대로127길 13,광진구
신이문역점,"서울 동대문구 한천로 479, 1층",1577-9621,"서울특별시 동대문구 한천로 479, 1층",동대문구
서초가야점,서울 서초구 반포대로22길 73,1577-9621 소프트크림 판매점,서울특별시 서초구 반포대로22길 73,서초구
수유센터점,서울 강북구 인수봉로77길 22,02-998-3780 소프트크림 판매점,서울특별시 강북구 인수봉로77길 22,강북구
