,store,address,phone
0,군포송정점,경기 군포시 송부로34번길 2,1577-9621
1,오산궐동원룸점,경기 오산시 대호로 141 106호,1577-9621
2,장안나이스점,"경기 수원시 장안구 덕영대로407번길 83, 상가동 7,8,9호",1577-9621
3,안산초당점,경기 안산시 상록구 장화3길 2-1,1577-9621
4,광주중대로또점,경기 광주시 순암로 409,1577-9621
5,선경다온점,경기 안산시 상록구 감골2로 60,1577-9621
6,시흥정왕군서점,"경기 시흥시 봉우재로23번길 10, 1층",1577-9621
7,베어스타운점,경기 포천시 내촌면 금강로2536번길 27,1577-9621 소프트크림 판매점
8,장자산단점,경기 포천시 신북면 장자경제로 103-28,1577-9621 소프트크림 판매점
9,갈산본점,"경기 김포시 월곶면 군하로 18, 2동 1층",1577-9621
10,청북중앙로점,경기 평택시 청북읍 청북중앙로 346,1577-9621
11,고덕삼성점,경기 평택시 고덕여염5길 170,1577-9621
12,신봉자이점,"경기 용인시 수지구 신봉2로14번길 2, 102호, 103호",1577-9621 소프트크림 판매점
13,수원대삼거리점,"경기 화성시 봉담읍 와우안길 112, 1층 2호",1577-9621
14,권선센터점,"경기 수원시 권선구 장다리로 88, 1층",1577-9621 소프트크림 판매점
15,시흥오이도점,"경기 시흥시 오이도5길 19, 1층",1577-9621
16,금촌행복점,경기 파주시 황골로 22,1577-9621
17,뉴시흥호현로점,"경기 시흥시 호현로21번길 19-1, 1층",1577-9621
18,화성석교점,"경기 화성시 마도면 석교로157번길 17, 101호, 102호, 103호",1577-9621
19,광주탄벌점,경기 광주시 벌원길 61-1,1577-9621 소프트크림 판매점
20,로얄하임점,"경기 김포시 통진읍 마송1로 122 (마송리 513), 상가동 108호, 109호",1577-9621 소프트크림 판매점
21,포천용아점,경기 포천시 송선로149번길 2,1577-9621
22,서울대공원입구점,경기 과천시 대공원광장로 80 서울대공원 주차장 내 미니스톱,1577-9621
23,오산대역점,"경기 오산시 내삼미로79번길 27, 114호",1577-9621
24,평택옥길점,경기 평택시 청북읍 안청로2길 33-3,1577-9621
25,수원우만점,경기 수원시 팔달구 팔달문로175번길 77,1577-9621
26,범박타운점,경기 부천시 양지로92번길 9-3 (범박동) 107호,1577-9621
27,구리갈매점,경기 구리시 갈매중앙로 31 갈매6단지 상가동,1577-9621
